"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.289689057E2,-1.370903099E-1,-2.028277780E-1,-1.135176108E0
1.289888937E2,-1.057560752E0,-5.527682859E-1,-9.621211825E-1
1.290088817E2,-1.795831370E0,-1.473994919E0,-2.019319115E-1
1.290288697E2,-1.549954197E0,-1.586042043E0,1.903320589E-1
1.290488567E2,-1.237433969E0,-1.267160629E0,5.224282533E-1
1.290688447E2,-9.754278374E-1,-1.370183306E0,-1.872336924E-1
1.290888327E2,4.299539530E-1,-1.892342588E0,2.473840729E-1
1.291088207E2,4.365800178E-1,-1.257807569E0,-4.902188659E-1
1.291288077E2,-2.135675637E0,-2.692028850E-2,6.547712088E-2
1.291487957E2,-1.430533589E0,3.920188259E-1,-6.705985252E-2
1.291687837E2,1.311135784E0,9.076135844E-2,-8.113486073E-1
1.291887717E2,3.107711504E0,-7.728995830E-2,-1.213741636E-1
1.292087587E2,3.327061613E0,1.296406355E0,2.647496821E-1
1.292287467E2,1.257685801E0,2.159554496E0,1.083820598E0
1.292487347E2,-1.138932359E0,1.545807206E0,1.479253174E0
1.292687227E2,-2.151884703E0,8.361592935E-1,1.447957706E0
1.292887097E2,-1.473711183E0,3.824631599E-1,1.293343291E0
1.293086977E2,-2.343844700E-1,-1.915199938E-1,9.827707708E-1
1.293286857E2,-3.644990516E-1,-4.092022578E-1,1.477556312E0
1.293486737E2,-5.383239090E-1,-4.093610828E-1,9.082456684E-1
1.293686607E2,6.169941026E-1,-5.626711303E-1,1.596861731E0
1.293886480E2,-1.079255092E0,7.358549868E-1,2.050034977E0
1.294086360E2,-3.373334724E-1,1.687098594E-1,1.930921347E0
1.294286240E2,6.054797655E-1,2.779501735E-1,1.863305315E0
1.294486110E2,8.446536899E-1,4.263764072E-1,1.504113196E0
1.294685990E2,3.273019892E-1,1.200172441E-1,8.252830338E-1
1.294885870E2,1.150216901E0,1.084950864E-1,3.467626923E-1
1.295085750E2,2.237890229E0,3.644023898E-1,-4.056500012E-1
1.295285620E2,1.351033675E0,4.512130039E-1,3.001960516E-2
1.295485500E2,8.999753666E-1,-6.038879159E-2,-3.087680697E-1
1.295685380E2,5.035335606E-1,-3.919690514E-1,-5.428940928E-1
1.295885260E2,5.596393490E-1,-4.721014144E-1,-6.993164670E-1
1.296085130E2,4.172456145E-1,-9.051124379E-1,-6.074654800E-1
1.296285010E2,-1.864963585E-1,-1.366078853E0,-5.770359484E-1
1.296484890E2,-2.767878932E-1,-1.449916962E0,-6.884143335E-1
1.296684770E2,-3.138516390E-1,-1.364117259E0,-8.518767554E-1
1.296884640E2,-1.651925545E0,-1.208717124E0,-9.092689312E-1
1.297084520E2,-9.792068928E-1,-1.350363146E0,-9.977969456E-1
1.297284400E2,-1.291586788E0,-7.331411478E-1,-1.480946528E0
1.297484280E2,1.694406152E-2,-2.742148259E-1,-9.001063442E-1
1.297684150E2,1.756428153E0,2.384968168E0,-5.995886958E-1
1.297884030E2,6.430849636E-1,-3.453771946E-1,-4.394966090E-1
1.298083910E2,1.018168060E0,-5.511100155E-1,4.993943167E-1
1.298283790E2,7.076674604E-1,-6.109021810E-1,7.504819429E-1
1.298483660E2,5.521759629E-1,-1.940788816E-1,9.387763202E-1
1.298683540E2,-2.250886835E0,1.692894647E-1,1.429259480E0
1.298883420E2,-9.779503262E-1,3.623091231E-1,1.706732082E0
1.299083300E2,-4.144430441E-1,1.667181516E-1,1.013639392E0
1.299283170E2,1.554854749E0,5.740021572E-2,9.079486299E-1
1.299483050E2,1.280261316E0,-1.481604047E-2,9.058459711E-1
1.299682930E2,9.863545293E-1,5.303129312E-1,9.512706506E-1
1.299882810E2,4.195973647E-1,7.912333084E-1,1.048183572E0
1.300082680E2,4.538252109E-1,7.773829356E-1,7.113997382E-1
1.300282560E2,9.393458390E-1,7.699259815E-1,-4.245078564E-3
1.300482440E2,1.344716928E0,8.713056643E-1,-4.079485416E-2
1.300682320E2,-1.040634232E0,3.918174624E-1,2.809341173E-1
1.300882190E2,-8.149784857E-1,-2.126161632E-1,1.033786996E-1
1.301082070E2,-1.343527020E0,-5.673222249E-1,-1.898104873E-1
1.301281950E2,8.498056716E-1,-4.517009906E-1,-6.081104279E-3
1.301481830E2,1.393812490E-1,-2.444073285E-1,-6.219613854E-1
1.301681700E2,1.277768648E0,-4.840872563E-1,-1.090341997E0
1.301881580E2,-4.776099300E-1,-4.588588596E-1,-9.672195160E-1
1.302081460E2,-3.104087400E0,2.214927482E-1,-7.083995318E-1
1.302281340E2,-1.869553065E0,-9.764923230E-3,-1.718182100E0
1.302481210E2,7.345892107E-1,6.811911218E-2,-2.603001484E0
1.302681090E2,5.672038919E-1,3.680005105E-1,-2.173701980E0
1.302880970E2,4.878916740E-3,1.326122636E0,-1.169508181E0
1.303080850E2,2.025702374E0,1.213414923E0,-1.102746427E0
1.303280720E2,-4.218029344E-1,2.183706639E-1,-6.373237020E-1
1.303480600E2,4.774526399E-1,-3.069607685E-1,-1.202094567E0
1.303680480E2,1.418652631E0,-5.110789173E-1,-4.365146752E-1
1.303880360E2,4.772392166E-1,-6.043026845E-1,5.027533959E-1
1.304080230E2,3.791515308E0,1.220515087E-1,2.213653958E0
1.304280110E2,-8.272582233E-1,1.487206118E0,3.354121943E0
1.304479990E2,-9.766955137E-1,1.919305269E0,3.023587028E0
1.304679870E2,-2.494544989E-1,2.047838324E0,3.099778002E0
1.304879740E2,-9.334249485E-1,1.665171681E0,2.771855038E0
1.305079620E2,-6.813520664E-1,1.135933103E0,7.909233329E-1
1.305279500E2,1.190504801E-1,7.085721709E-2,-1.503831653E0
1.305479380E2,6.725566846E-1,-1.431885757E0,-1.205688266E0
1.305679250E2,-9.101471829E-1,-1.761246843E0,3.708678389E-1
1.305879130E2,-1.582233167E0,-2.423564030E0,1.672907109E0
1.306079010E2,1.859196476E0,-2.876206203E0,-6.161813396E-1
1.306278890E2,2.334870978E0,-1.648161254E0,-4.511374798E0
1.306478760E2,1.721496887E0,-3.822713712E-1,-3.191631328E0
1.306678640E2,1.406495100E-1,-1.328028390E0,1.105579841E-1
1.306878520E2,-2.036634913E0,-4.271104521E-1,1.054460558E0
1.307078400E2,-1.437779458E0,2.779777285E-2,9.686748880E-1
1.307278270E2,-2.335605973E-1,-6.903739912E-2,1.751532279E0
1.307478150E2,-1.063131394E0,-9.471885632E-1,7.175656271E-1
1.307678030E2,6.896662223E-1,-1.569605520E0,-3.255051398E-1
1.307877910E2,-2.171502112E0,-1.255024587E0,-2.227786240E0
1.308077780E2,-1.948391658E-1,-1.548350599E0,-2.631555777E0
1.308277660E2,2.284568551E0,-2.168094939E0,4.136456593E0
1.308477540E2,-1.081101058E0,-1.106373235E0,-1.057751956E0
1.308677420E2,3.172699213E-1,-1.333155959E0,-2.513747245E-1
1.308877290E2,2.755623168E-1,-9.413694142E-1,-1.275521563E0
1.309077170E2,3.216436386E-1,-7.439703374E-1,-1.860021518E0
1.309277050E2,1.149910507E0,-6.200780703E-1,-1.140916904E0
1.309476930E2,2.068429148E0,-4.273906068E-1,-3.703158617E-1
1.309676800E2,1.755810687E0,5.505299717E-3,-8.220571250E-1
1.309876680E2,1.441211189E0,4.889294817E-1,-1.116091381E0
1.310076560E2,1.509566309E0,9.028849411E-1,-9.879478955E-1
1.310276440E2,1.433729092E0,1.336163182E0,-7.225989103E-1
