"Time (ms)","Recording (a.u.)"
1.031289064E1,1.222291403E-2
1.033372476E1,1.227135211E-2
1.035455888E1,1.242853235E-2
1.037539301E1,1.232581586E-2
1.039622713E1,1.227949373E-2
1.041706125E1,1.221599430E-2
1.043789537E1,1.183516532E-2
1.045872950E1,1.167866029E-2
1.047956362E1,1.137712877E-2
1.050039774E1,1.112537272E-2
1.052123186E1,1.112199016E-2
1.054206599E1,1.078222692E-2
1.056290011E1,1.049801335E-2
1.058373423E1,1.008867007E-2
1.060456835E1,9.560553357E-3
1.062540248E1,9.181534871E-3
1.064623660E1,8.492024615E-3
1.066707072E1,7.865442894E-3
1.068790484E1,7.353375666E-3
1.070873897E1,6.697304081E-3
1.072957309E1,6.199770141E-3
1.075040721E1,5.663942546E-3
1.077124133E1,5.113002378E-3
1.079207546E1,4.620937631E-3
1.081290958E1,3.981345333E-3
1.083374370E1,3.423433984E-3
1.085457782E1,2.728841035E-3
1.087541195E1,1.926436089E-3
1.089624607E1,1.228373265E-3
1.091708019E1,4.937428748E-4
1.093791431E1,-8.781455108E-5
1.095874844E1,-8.129805792E-4
1.097958256E1,-1.469345763E-3
1.100041668E1,-1.919466536E-3
1.102125080E1,-2.574496903E-3
1.104208493E1,-3.089770442E-3
1.106291905E1,-3.611874301E-3
1.108375317E1,-4.207639955E-3
1.110458729E1,-4.759718664E-3
1.112542142E1,-5.296329968E-3
1.114625554E1,-5.691388622E-3
1.116708966E1,-6.117649842E-3
1.118792378E1,-6.279688329E-3
1.120875791E1,-6.399361882E-3
1.122959203E1,-6.751319394E-3
1.125042615E1,-6.958437152E-3
1.127126028E1,-7.350915112E-3
1.129209440E1,-7.616917137E-3
1.131292852E1,-7.610647008E-3
1.133376264E1,-7.778542116E-3
1.135459677E1,-7.646022364E-3
1.137543089E1,-7.548560388E-3
1.139626501E1,-7.535350509E-3
1.141709913E1,-7.254536264E-3
1.143793326E1,-7.089891005E-3
1.145876738E1,-6.669112481E-3
1.147960150E1,-6.435465999E-3
1.150043562E1,-6.384302862E-3
1.152126975E1,-5.830016918E-3
1.154210387E1,-5.421870388E-3
1.156293799E1,-4.970876500E-3
1.158377211E1,-4.451268353E-3
1.160460624E1,-4.014548846E-3
1.162544036E1,-3.260195721E-3
1.164627448E1,-2.492797561E-3
1.166710860E1,-1.723878668E-3
1.168794273E1,-1.122598653E-3
1.170877685E1,-5.235740100E-4
1.172961097E1,2.670386748E-4
1.175044509E1,7.633512723E-4
1.177127922E1,1.348983729E-3
1.179211334E1,2.008042298E-3
1.181294746E1,2.698656172E-3
1.183378158E1,3.633415792E-3
1.185461571E1,4.326487891E-3
1.187544983E1,5.045656580E-3
1.189628395E1,5.758063868E-3
1.191711807E1,6.378591992E-3
1.193795220E1,7.150117308E-3
1.195878632E1,7.721703965E-3
1.197962044E1,8.354152553E-3
1.200045456E1,8.953712881E-3
1.202128869E1,9.444349445E-3
1.204212281E1,1.011942327E-2
1.206295693E1,1.065660827E-2
1.208379105E1,1.120230649E-2
1.210462518E1,1.182364114E-2
1.212545930E1,1.243194565E-2
1.214629342E1,1.297796890E-2
1.216712754E1,1.329062507E-2
1.218796167E1,1.360199414E-2
1.220879579E1,1.380920969E-2
1.222962991E1,1.399190631E-2
1.225046403E1,1.421303861E-2
1.227129816E1,1.412041113E-2
1.229213228E1,1.419419516E-2
1.231296640E1,1.434183586E-2
1.233380052E1,1.428135578E-2
1.235463465E1,1.437953953E-2
1.237546877E1,1.423210651E-2
1.239630289E1,1.398651116E-2
1.241713701E1,1.375262626E-2
1.243797114E1,1.336606778E-2
1.245880526E1,1.304007135E-2
1.247963938E1,1.252017263E-2
1.250047350E1,1.212815382E-2
1.252130763E1,1.166076493E-2
1.254214175E1,1.113333739E-2
1.256297587E1,1.087908447E-2
1.258380999E1,1.018793695E-2
1.260464412E1,9.560368955E-3
1.262547824E1,8.995416574E-3
1.264631236E1,8.147681132E-3
1.266714648E1,7.641721517E-3
1.268798061E1,7.067602593E-3
1.270881473E1,6.358814426E-3
1.272964885E1,5.724488292E-3
1.275048297E1,4.957568366E-3
1.277131710E1,4.157324322E-3
1.279215122E1,3.243825398E-3
1.281298534E1,2.546240808E-3
1.283381946E1,2.019918524E-3
1.285465359E1,1.282670652E-3
1.287548771E1,5.621705204E-4
1.289632183E1,-3.338155220E-4
1.291715595E1,-1.134112244E-3
1.293799008E1,-1.724075992E-3
1.295882420E1,-2.399460413E-3
1.297965832E1,-2.967057284E-3
1.300049244E1,-3.715092083E-3
1.302132657E1,-4.312179983E-3
1.304216069E1,-4.806741606E-3
1.306299481E1,-5.509812385E-3
1.308382893E1,-6.059827283E-3
1.310466306E1,-6.797562353E-3
1.312549718E1,-7.439206354E-3
1.314633130E1,-7.786940783E-3
1.316716542E1,-8.089009672E-3
1.318799955E1,-8.356376551E-3
1.320883367E1,-8.724764921E-3
1.322966779E1,-8.887141943E-3
1.325050191E1,-9.029295295E-3
1.327133604E1,-9.198443964E-3
1.329217016E1,-9.158162400E-3
1.331300428E1,-9.321952239E-3
1.333383840E1,-9.466140531E-3
1.335467253E1,-9.447053075E-3
1.337550665E1,-9.497798979E-3
1.339634077E1,-9.320134297E-3
1.341717489E1,-9.184516966E-3
1.343800902E1,-9.045580402E-3
1.345884314E1,-8.576730266E-3
1.347967726E1,-8.167309687E-3
1.350051138E1,-7.761122659E-3
1.352134551E1,-7.494309917E-3
1.354217963E1,-7.212436758E-3
1.356301375E1,-6.573911756E-3
1.358384787E1,-6.043717265E-3
1.360468200E1,-5.505497567E-3
1.362551612E1,-5.011610687E-3
1.364635024E1,-4.665269516E-3
1.366718436E1,-4.084040411E-3
1.368801849E1,-3.469666000E-3
1.370885261E1,-2.757120179E-3
1.372968673E1,-1.992918318E-3
1.375052085E1,-1.321103307E-3
1.377135498E1,-4.244951997E-4
1.379218910E1,4.259449488E-4
1.381302322E1,1.245601103E-3
1.383385734E1,1.992823090E-3
1.385469147E1,2.549862256E-3
1.387552559E1,3.378988709E-3
1.389635971E1,4.043614026E-3
1.391719383E1,4.614310339E-3
1.393802796E1,5.357921124E-3
1.395886208E1,5.909648724E-3
1.397969620E1,6.655775476E-3
1.400053032E1,7.369618863E-3
1.402136445E1,7.836075500E-3
1.404219857E1,8.317468688E-3
1.406303269E1,8.731235750E-3
1.408386681E1,9.131045081E-3
1.410470094E1,9.438473731E-3
1.412553506E1,9.810494259E-3
1.414636918E1,1.016547997E-2
1.416720330E1,1.041723043E-2
1.418803743E1,1.070535369E-2
1.420887155E1,1.083048061E-2
1.422970567E1,1.101787295E-2
1.425053979E1,1.109112240E-2
1.427137392E1,1.114321873E-2
1.429220804E1,1.131490525E-2
1.431304216E1,1.109277923E-2
1.433387628E1,1.110021304E-2
1.435471041E1,1.094458532E-2
1.437554453E1,1.045349427E-2
1.439637865E1,1.050677989E-2
