"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.583643484E2,7.893682659E-1,1.416882387E0,-1.252323319E0
1.583843364E2,-8.708690965E-1,-7.777644664E-2,-2.972953210E-1
1.584043244E2,-2.978188076E0,-4.774095167E-1,-7.115308620E-1
1.584243124E2,-6.488836473E-1,-8.464017881E-1,1.835256660E0
1.584443004E2,-7.682399368E-1,-7.090374631E-1,1.796380423E0
1.584642884E2,-8.424416882E-1,-1.891278431E-1,2.612714878E0
1.584842764E2,1.392001022E0,-6.148236161E-1,-1.717993820E-1
1.585042644E2,1.252981716E0,-1.487879937E-1,-1.445897294E0
1.585242524E2,-2.140355748E-1,2.600070786E-1,1.615579253E0
1.585442404E2,3.657742708E0,1.487584433E0,-8.951056592E-1
1.585642284E2,-3.366066635E-2,-2.140716448E-1,2.799522601E-1
1.585842164E2,9.181169379E-1,-1.203214748E0,-9.265152937E-1
1.586042044E2,-9.062862664E-1,-8.250323345E-1,-3.038809669E-1
1.586241924E2,-8.082869321E-1,-1.104735357E0,5.596551365E-1
1.586441804E2,6.081975514E-1,-9.548270734E-1,4.814609063E-1
1.586641694E2,6.626895082E-1,-7.699824071E-1,-6.907491267E-2
1.586841574E2,-3.602960730E-1,-2.242565078E-1,-3.533998668E-2
1.587041454E2,-3.794854653E-1,6.004382414E-2,2.126328095E-1
1.587241334E2,-1.931335330E0,7.437550136E-1,-1.224436778E0
1.587441214E2,2.974408436E-1,9.462059386E-1,-1.788493114E0
1.587641094E2,-9.680884123E-2,-6.573501963E-2,-1.049827225E0
1.587840974E2,-9.431307417E-1,7.468374465E-1,8.872391442E-2
1.588040854E2,-3.114636362E-2,6.172311341E-1,2.106752969E0
1.588240734E2,-1.107496558E0,7.875058546E-1,1.709506586E0
1.588440614E2,-9.421910942E-2,9.613978820E-1,6.842990631E-1
1.588640494E2,4.848978996E-1,1.074213476E0,-9.537627339E-2
1.588840374E2,-6.500413960E-1,1.045339048E0,-2.340911736E0
1.589040254E2,-2.999802893E-1,6.573695652E-1,-2.631242366E0
1.589240134E2,7.347985411E-1,3.259329002E-1,-1.677651832E0
1.589440014E2,-3.970317900E-2,3.080696929E-1,4.841032630E-1
1.589639894E2,5.809501112E-1,2.056697806E-2,6.654473475E-1
1.589839774E2,8.098200721E-1,1.820164412E-1,1.103231892E0
1.590039654E2,-9.331501293E-1,5.618333705E-3,5.100935519E-2
1.590239534E2,-1.421585594E0,3.506133762E-1,-1.481105572E-1
1.590439414E2,-1.641878275E0,4.537905662E-1,1.680823070E-1
1.590639304E2,-8.596477050E-1,1.121569235E-1,-6.253538668E-2
1.590839184E2,-8.864326304E-1,2.106035881E-1,7.533611119E-1
1.591039064E2,1.839387864E-1,-7.084559575E-2,1.856631303E-1
1.591238944E2,4.418319869E-1,2.035993181E-2,3.839369506E-1
1.591438824E2,9.995429242E-1,-2.231914009E-1,-8.503371835E-2
