Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
382	800	11	1	02/07/24 11:09:11 AM	
383	800	11	1	02/07/24 11:09:12 AM	
384	800	9	1	02/07/24 11:09:13 AM	
385	800	5	1	02/07/24 11:09:14 AM	
386	800	15	1	02/07/24 11:09:15 AM	
387	800	12	1	02/07/24 11:09:16 AM	
388	800	4	1	02/07/24 11:09:17 AM	
389	800	9	1	02/07/24 11:09:19 AM	
390	800	17	1	02/07/24 11:09:20 AM	
391	800	17	1	02/07/24 11:09:21 AM	
392	800	13	1	02/07/24 11:09:22 AM	
393	800	8	1	02/07/24 11:09:23 AM	
394	800	6	1	02/07/24 11:09:24 AM	
395	800	14	1	02/07/24 11:09:25 AM	
396	800	9	1	02/07/24 11:09:27 AM	
397	800	13	1	02/07/24 11:09:28 AM	
398	800	10	1	02/07/24 11:09:29 AM	
399	800	14	1	02/07/24 11:09:30 AM	
400	800	17	1	02/07/24 11:09:31 AM	
401	800	15	1	02/07/24 11:09:32 AM	
402	800	9	1	02/07/24 11:09:33 AM	
403	800	6	1	02/07/24 11:09:35 AM	
404	800	9	1	02/07/24 11:09:36 AM	
405	800	9	1	02/07/24 11:09:37 AM	
406	800	8	1	02/07/24 11:09:38 AM	
407	800	9	1	02/07/24 11:09:39 AM	
408	800	12	1	02/07/24 11:09:40 AM	
409	800	6	1	02/07/24 11:09:41 AM	
410	800	10	1	02/07/24 11:09:43 AM	
411	800	7	1	02/07/24 11:09:44 AM	
412	800	15	1	02/07/24 11:09:45 AM	
413	800	9	1	02/07/24 11:09:46 AM	
414	800	13	1	02/07/24 11:09:47 AM	
415	800	21	1	02/07/24 11:09:49 AM	
416	800	13	1	02/07/24 11:09:50 AM	
417	800	10	1	02/07/24 11:09:51 AM	
418	800	13	1	02/07/24 11:09:52 AM	
419	800	8	1	02/07/24 11:09:53 AM	
420	800	9	1	02/07/24 11:09:54 AM	
421	800	7	1	02/07/24 11:09:56 AM	
422	800	12	1	02/07/24 11:09:57 AM	
423	800	9	1	02/07/24 11:09:58 AM	
424	800	22	1	02/07/24 11:09:59 AM	
425	800	9	1	02/07/24 11:10:00 AM	
426	800	11	1	02/07/24 11:10:01 AM	
427	800	13	1	02/07/24 11:10:02 AM	
428	800	11	1	02/07/24 11:10:04 AM	
429	800	16	1	02/07/24 11:10:05 AM	
430	800	10	1	02/07/24 11:10:06 AM	
431	800	11	1	02/07/24 11:10:07 AM	
432	800	14	1	02/07/24 11:10:08 AM	
433	800	15	1	02/07/24 11:10:09 AM	
434	800	14	1	02/07/24 11:10:10 AM	
435	800	11	1	02/07/24 11:10:12 AM	
436	800	12	1	02/07/24 11:10:13 AM	
437	800	19	1	02/07/24 11:10:14 AM	
438	800	4	1	02/07/24 11:10:15 AM	
439	800	5	1	02/07/24 11:10:16 AM	
440	800	10	1	02/07/24 11:10:17 AM	
441	800	10	1	02/07/24 11:10:19 AM	
442	800	14	1	02/07/24 11:10:20 AM	
443	800	8	1	02/07/24 11:10:21 AM	
444	800	18	1	02/07/24 11:10:22 AM	
445	800	6	1	02/07/24 11:10:23 AM	
446	800	8	1	02/07/24 11:10:24 AM	
447	800	7	1	02/07/24 11:10:25 AM	
448	800	15	1	02/07/24 11:10:27 AM	
449	800	13	1	02/07/24 11:10:28 AM	
450	800	10	1	02/07/24 11:10:29 AM	
451	800	10	1	02/07/24 11:10:30 AM	
452	800	8	1	02/07/24 11:10:31 AM	
453	800	9	1	02/07/24 11:10:32 AM	
454	800	10	1	02/07/24 11:10:33 AM	
455	800	10	1	02/07/24 11:10:35 AM	
456	800	10	1	02/07/24 11:10:36 AM	
457	800	12	1	02/07/24 11:10:37 AM	
458	800	5	1	02/07/24 11:10:38 AM	
459	800	14	1	02/07/24 11:10:39 AM	
460	800	13	1	02/07/24 11:10:40 AM	
461	800	4	1	02/07/24 11:10:41 AM	
462	800	13	1	02/07/24 11:10:43 AM	
463	800	10	1	02/07/24 11:10:44 AM	
464	800	11	1	02/07/24 11:10:45 AM	
465	800	17	1	02/07/24 11:10:46 AM	
466	800	9	1	02/07/24 11:10:47 AM	
467	800	8	1	02/07/24 11:10:48 AM	
468	800	7	1	02/07/24 11:10:50 AM	
469	800	7	1	02/07/24 11:10:51 AM	
470	800	8	1	02/07/24 11:10:52 AM	
471	800	9	1	02/07/24 11:10:53 AM	
472	800	9	1	02/07/24 11:10:54 AM	
473	800	10	1	02/07/24 11:10:55 AM	
474	800	12	1	02/07/24 11:10:56 AM	
475	800	17	1	02/07/24 11:10:58 AM	
476	800	13	1	02/07/24 11:10:59 AM	
477	800	17	1	02/07/24 11:11:00 AM	
478	800	3	1	02/07/24 11:11:01 AM	
479	800	11	1	02/07/24 11:11:02 AM	
480	800	8	1	02/07/24 11:11:03 AM	
481	800	11	1	02/07/24 11:11:04 AM	
482	800	6	1	02/07/24 11:11:06 AM	
483	800	12	1	02/07/24 11:11:07 AM	
484	800	17	1	02/07/24 11:11:08 AM	
485	800	12	1	02/07/24 11:11:09 AM	
486	800	8	1	02/07/24 11:11:10 AM	
487	800	8	1	02/07/24 11:11:11 AM	
488	800	8	1	02/07/24 11:11:12 AM	
489	800	10	1	02/07/24 11:11:14 AM	
490	800	9	1	02/07/24 11:11:15 AM	
491	800	13	1	02/07/24 11:11:16 AM	
492	800	12	1	02/07/24 11:11:17 AM	
493	800	8	1	02/07/24 11:11:18 AM	
494	800	11	1	02/07/24 11:11:19 AM	
495	800	19	1	02/07/24 11:11:20 AM	
496	800	8	1	02/07/24 11:11:22 AM	
497	800	12	1	02/07/24 11:11:23 AM	
498	800	6	1	02/07/24 11:11:24 AM	
499	800	11	1	02/07/24 11:11:25 AM	
500	800	13	1	02/07/24 11:11:26 AM	
501	800	15	1	02/07/24 11:11:27 AM	
502	800	8	1	02/07/24 11:11:29 AM	
503	800	5	1	02/07/24 11:11:30 AM	
504	800	8	1	02/07/24 11:11:31 AM	
505	800	10	1	02/07/24 11:11:32 AM	
506	800	12	1	02/07/24 11:11:33 AM	
507	800	6	1	02/07/24 11:11:34 AM	
508	800	13	1	02/07/24 11:11:36 AM	
509	800	8	1	02/07/24 11:11:37 AM	
510	800	14	1	02/07/24 11:11:38 AM	
511	800	9	1	02/07/24 11:11:39 AM	
512	800	11	1	02/07/24 11:11:40 AM	
513	800	14	1	02/07/24 11:11:41 AM	
514	800	8	1	02/07/24 11:11:42 AM	
515	800	11	1	02/07/24 11:11:44 AM	
516	800	7	1	02/07/24 11:11:45 AM	
517	800	12	1	02/07/24 11:11:46 AM	
518	800	11	1	02/07/24 11:11:47 AM	
519	800	10	1	02/07/24 11:11:48 AM	
520	800	10	1	02/07/24 11:11:49 AM	
521	800	8	1	02/07/24 11:11:51 AM	
522	800	10	1	02/07/24 11:11:52 AM	
523	800	6	1	02/07/24 11:11:53 AM	
524	800	8	1	02/07/24 11:11:54 AM	
525	800	6	1	02/07/24 11:11:55 AM	
526	800	13	1	02/07/24 11:11:56 AM	
527	800	10	1	02/07/24 11:11:57 AM	
528	800	8	1	02/07/24 11:11:59 AM	
529	800	17	1	02/07/24 11:12:00 AM	
530	800	10	1	02/07/24 11:12:01 AM	
531	800	12	1	02/07/24 11:12:02 AM	
532	800	11	1	02/07/24 11:12:03 AM	
