Wavelength,Intensity Source #3,,starting W (nm),ending W (nm),Delta W (nm),Intensity,,,Source #3
599.33,7.837,,,,,,,,
599.678,7.91,,,,,,,,
600.027,7.886,,,,,,,,
600.375,9.546,,,,,,,,
600.724,10.718,,,,,,,,
601.072,11.475,,,,,,,,
601.421,12.061,,,,,,,,
601.769,13.257,,,,,,,,
602.118,12.744,,,,,,,,
602.466,11.279,,,,,,,,
602.814,9.155,,,,,,,,
603.163,8.276,,,,,,,,
603.511,8.13,,,,,,,,
603.859,7.764,,,,,,,,
604.207,7.788,,,,,,,,
604.555,7.666,,,,,,,,
604.903,7.812,,,,,,,,
605.251,8.032,,,,,,,,
605.599,8.496,,,,,,,,
605.947,8.594,,,,,,,,
606.295,8.35,,,,,,,,
606.643,7.935,,,,,,,,
606.99,8.105,,,,,,,,
607.338,8.447,,,,,,,,
607.686,11.475,,,,,,,,
608.034,8.789,,,,,,,,
608.381,8.74,,,,,,,,
608.729,8.105,,,,,,,,
609.076,6.885,,,,,,,,
609.424,6.128,,,,,,,,
609.771,5.811,,,,,,,,
610.119,5.884,,,,,,,,
610.466,6.616,,,,,,,,
610.813,7.129,,,,,,,,
611.16,7.91,,,,,,,,
611.508,7.69,,,,,,,,
611.855,8.447,,,,,,,,
612.202,8.35,,,,,,,,
612.549,8.862,,,,,,,,
612.896,8.032,,,,,,,,
613.243,7.275,,,,,,,,
613.59,6.958,,,,,,,,
613.937,8.594,,,,,,,,
614.284,11.279,,,,,,,,
614.631,13.013,,,,,,,,
614.978,12.598,,,,,,,,
615.324,10.645,,,,,,,,
615.671,9.009,,,,,,,,
616.018,8.179,,,,,,,,
616.364,7.666,,,,,,,,
616.711,7.056,,,,,,,,
617.058,6.885,,,,,,,,
617.404,5.884,,,,,,,,
617.751,5.786,,,,,,,,
618.097,5.981,,,,,,,,
618.443,6.738,,,,,,,,
618.79,7.3,,,,,,,,
619.136,7.153,,,,,,,,
619.482,5.933,,,,,,,,
619.828,6.372,,,,,,,,
620.175,5.127,,,,,,,,
